size,block_x,block_y,time_sec,operations
200,8,8,0.000272477,8000000
200,16,16,0.000202353,8000000
200,32,32,0.000247525,8000000
400,8,8,0.00050689,64000000
400,16,16,0.000439824,64000000
400,32,32,0.000394528,64000000
800,8,8,0.00422297,512000000
800,16,16,0.0026801,512000000
800,32,32,0.00253374,512000000
1200,8,8,0.0131359,1728000000
1200,16,16,0.0109477,1728000000
1200,32,32,0.00757978,1728000000
1600,8,8,0.0306116,4096000000
1600,16,16,0.0194251,4096000000
1600,32,32,0.0246984,4096000000
2000,8,8,0.0777222,8000000000
2000,16,16,0.0589868,8000000000
2000,32,32,0.039909,8000000000
