size,processes,time_sec,operations
200,1,0.0807,8000000
200,2,0.0413,8000000
200,4,0.0204,8000000
200,8,0.0102,8000000
400,1,0.6405,64000000
400,2,0.3209,64000000
400,4,0.1611,64000000
400,8,0.0804,64000000
800,1,4.7468,512000000
800,2,2.4915,512000000
800,4,1.2997,512000000
800,8,0.6573,512000000
1200,1,15.4921,1728000000
1200,2,7.8189,1728000000
1200,4,3.9905,1728000000
1200,8,2.0741,1728000000
1600,1,36.8792,4096000000
1600,2,18.4901,4096000000
1600,4,9.3184,4096000000
1600,8,4.7951,4096000000
2000,1,71.6985,8000000000
2000,2,35.9712,8000000000
2000,4,18.3891,8000000000
2000,8,9.3578,8000000000
